qx, qy, qz, length
1, 0.131492, 0.032126, 0.029486, 0.138534
2, -0.048475, 0.145722, 0.063904, 0.166339
3, -0.109918, -0.100908, 0.100425, 0.179860
4, -0.017401, -0.099363, 0.023824, 0.103650
5, 0.135087, 0.141120, 0.007945, 0.195516
6, -0.059575, 0.029015, -0.122046, 0.138875
7, 0.155949, 0.075280, 0.085508, 0.193129
8, -0.130996, -0.172581, 0.012184, 0.217008
9, 0.042157, -0.057914, -0.190973, 0.203965
10, 0.006385, -0.077647, 0.175095, 0.191646
11, 0.175895, 0.060985, 0.191436, 0.267032
12, 0.027765, 0.100315, -0.062231, 0.121271
13, 0.052427, -0.108328, 0.091290, 0.151055
14, 0.057307, 0.014537, 0.103283, 0.119007
15, 0.020513, 0.053903, -0.124834, 0.137513
16, 0.011579, -0.192651, -0.077860, 0.208112
17, 0.045076, 0.022714, -0.197132, 0.203492
18, -0.106831, 0.116943, 0.052100, 0.166742
19, -0.144503, 0.103067, -0.101455, 0.204443
20, -0.043162, -0.021909, -0.076790, 0.090773
21, 0.076822, -0.080515, 0.022241, 0.113486
22, -0.020505, -0.000282, 0.101346, 0.103400
23, 0.022230, -0.017528, -0.170987, 0.173314
24, 0.038693, 0.119038, -0.010867, 0.125639
25, -0.057465, 0.142869, -0.257166, 0.299747
26, 0.042334, 0.083986, 0.004172, 0.094145
27, -0.083283, -0.066449, -0.004835, 0.106653
28, 0.034425, 0.092281, -0.019109, 0.100330
29, -0.038389, 0.014571, 0.019059, 0.045269
30, 0.208444, 0.123925, -0.102557, 0.263295
31, -0.064506, 0.001749, -0.033843, 0.072866
32, -0.099182, -0.017336, -0.088975, 0.134366
33, -0.014881, -0.012553, 0.000222, 0.019470
34, -0.030486, 0.000539, -0.086306, 0.091534
35, 0.035589, -0.037916, -0.084451, 0.099178
36, -0.018607, -0.013945, -0.014504, 0.027405
37, 0.147714, 0.030869, 0.192397, 0.244518
38, -0.106906, -0.052748, 0.098954, 0.154930
39, 0.010326, 0.034474, 0.225629, 0.228481
40, -0.050250, 0.187674, -0.043764, 0.199153
41, 0.103861, -0.100593, 0.058307, 0.155903
42, -0.072039, 0.226287, -0.031726, 0.239587
43, 0.014865, -0.110847, -0.189824, 0.220320
44, 0.009788, -0.058501, -0.080797, 0.100231
45, -0.124834, 0.005187, -0.054970, 0.136500
46, 0.020100, 0.072655, -0.005188, 0.075562
47, -0.122940, -0.016926, 0.018430, 0.125461
48, 0.065839, 0.017646, 0.054657, 0.087370
49, 0.048857, -0.060296, -0.055923, 0.095655
50, 0.207234, 0.026356, 0.115545, 0.238728
51, 0.001407, -0.104377, -0.019157, 0.106129
52, 0.025098, -0.093713, -0.134685, 0.165988
53, -0.235948, 0.030637, -0.175464, 0.295631
54, 0.063400, -0.071634, -0.139514, 0.169160
55, -0.061504, -0.105890, 0.067544, 0.139849
56, 0.067928, 0.091326, -0.194293, 0.225176
57, -0.144034, 0.105996, 0.095243, 0.202613
58, 0.162555, 0.018874, -0.119703, 0.202754
59, 0.016680, 0.101884, -0.133555, 0.168806
60, 0.095922, 0.146643, 0.060571, 0.185403
61, -0.001927, 0.007860, 0.071091, 0.071551
62, 0.288275, -0.126179, -0.015791, 0.315076
63, 0.065489, 0.145231, 0.072178, 0.174902
64, 0.071613, -0.030434, 0.081610, 0.112760
65, -0.068816, -0.135066, 0.180029, 0.235348
66, 0.165440, 0.115636, 0.071840, 0.214250
67, 0.019055, -0.011061, 0.030925, 0.037971
68, 0.083696, 0.166544, 0.104903, 0.213884
69, -0.091309, 0.197170, -0.074714, 0.229773
70, -0.186906, -0.000655, 0.138000, 0.232332
71, -0.014677, -0.107043, -0.141133, 0.177741
72, -0.039657, -0.173831, -0.163682, 0.242037
73, -0.003252, -0.002368, 0.040004, 0.040206
74, -0.049242, -0.019470, 0.002514, 0.053011
75, 0.173200, 0.134947, 0.084156, 0.235141
76, 0.054393, 0.008927, -0.102462, 0.116348
77, 0.136369, 0.014959, 0.134608, 0.192197
78, -0.014414, -0.090524, -0.006976, 0.091930
79, 0.143150, 0.096048, 0.041897, 0.177405
80, -0.060389, 0.062715, -0.042088, 0.096703
81, -0.033047, 0.188723, -0.154960, 0.246416
82, 0.081206, -0.148698, -0.107342, 0.200569
83, -0.047559, -0.120230, -0.085796, 0.155171
84, -0.023226, -0.020023, 0.056106, 0.063940
85, -0.197763, -0.021761, -0.133033, 0.239335
86, 0.139619, -0.071598, 0.020059, 0.158184
87, 0.017056, 0.001960, -0.163901, 0.164797
88, -0.000592, -0.126945, -0.150938, 0.197225
89, -0.008866, 0.013822, -0.064534, 0.066591
90, -0.126783, -0.100381, -0.010542, 0.162054
91, 0.045486, -0.108409, -0.013280, 0.118312
92, 0.092641, -0.070568, 0.047709, 0.125850
93, -0.039876, 0.133426, 0.141236, 0.198344
94, 0.096079, 0.099005, 0.089318, 0.164349
95, 0.073132, -0.230637, 0.156495, 0.288153
96, -0.032512, -0.045847, -0.075871, 0.094421
97, 0.107301, 0.003279, -0.090262, 0.140255
98, 0.070423, 0.147786, 0.062252, 0.175144
99, -0.119336, -0.001902, 0.051724, 0.130078
100, -0.003543, -0.056037, 0.126302, 0.138220
