Step, Strands, <Q>, piYX, trouton_1, trouton_2
1, 1005, 0.155130, -0.020230, -0.055514, -0.011088
2, 1001, 0.155040, -0.022237, -0.016474, 0.003840
3, 1006, 0.155280, -0.019262, 0.009266, 0.012622
4, 1006, 0.155056, -0.025804, 0.039502, 0.011541
5, 1006, 0.154576, -0.020542, 0.060944, -0.009903
6, 1008, 0.154753, -0.021285, 0.092844, -0.000183
7, 1004, 0.155066, -0.020287, 0.128276, 0.017661
8, 1009, 0.154882, -0.019066, 0.158562, 0.016463
9, 1007, 0.154709, -0.015081, 0.178063, 0.007924
10, 1001, 0.155256, -0.009629, 0.208408, 0.004719
11, 998, 0.154853, -0.008335, 0.245093, 0.013574
12, 998, 0.155017, -0.008306, 0.294033, 0.014797
13, 991, 0.155242, -0.014750, 0.328308, 0.016503
14, 999, 0.155252, -0.006159, 0.343885, 0.005540
15, 1000, 0.154921, -0.010708, 0.387553, 0.021765
16, 995, 0.155334, -0.008002, 0.432402, 0.019358
17, 999, 0.155822, -0.010461, 0.461190, 0.021363
18, 997, 0.156043, -0.013164, 0.477738, 0.016903
19, 996, 0.156304, -0.015901, 0.504168, 0.019123
20, 998, 0.156129, -0.018883, 0.518864, 0.013801
21, 997, 0.156947, -0.010438, 0.556372, 0.012031
22, 1004, 0.156786, -0.009920, 0.585310, 0.011112
23, 1001, 0.157007, -0.011036, 0.604334, 0.000644
24, 1000, 0.157539, -0.008730, 0.641768, 0.009988
25, 1002, 0.157664, -0.008654, 0.671146, 0.007515
26, 1008, 0.157988, -0.014672, 0.705154, 0.001274
27, 1009, 0.157997, -0.017543, 0.736900, 0.000477
28, 1005, 0.158392, -0.017545, 0.765340, -0.005219
29, 1009, 0.158918, -0.016732, 0.793892, -0.011563
30, 1010, 0.158697, -0.016405, 0.827001, 0.000021
31, 1007, 0.158974, -0.015268, 0.863711, 0.006008
32, 1009, 0.159729, -0.011198, 0.896151, -0.005806
33, 1011, 0.159778, -0.009516, 0.931565, 0.009372
34, 1005, 0.159512, -0.007917, 0.932192, 0.012368
35, 1003, 0.159999, -0.011226, 0.975083, 0.026912
36, 1004, 0.160325, -0.015138, 0.993540, 0.014802
37, 1006, 0.160974, -0.013874, 1.020171, 0.018843
38, 1009, 0.161013, -0.011523, 1.034142, 0.019249
39, 1013, 0.161465, -0.021811, 1.063724, 0.010232
40, 1016, 0.161637, -0.025329, 1.100374, 0.008209
41, 1016, 0.161881, -0.028291, 1.142333, 0.016450
42, 1016, 0.162098, -0.021847, 1.166581, 0.000934
43, 1018, 0.161920, -0.022255, 1.183438, -0.004644
44, 1026, 0.162326, -0.021878, 1.236647, -0.005357
45, 1025, 0.162418, -0.022526, 1.269627, -0.006511
46, 1029, 0.162541, -0.026479, 1.301402, -0.018630
47, 1038, 0.163117, -0.020319, 1.344060, -0.026974
48, 1037, 0.163513, -0.029509, 1.364296, -0.029703
49, 1035, 0.163492, -0.026104, 1.384403, -0.027304
50, 1036, 0.163725, -0.020000, 1.413930, -0.020045
51, 1039, 0.163970, -0.016109, 1.464447, -0.020563
52, 1034, 0.164562, -0.013382, 1.499460, -0.023856
53, 1035, 0.164646, -0.013773, 1.549907, -0.017209
